destination_port,flow_duration,total_fwd_packets,flow_bytes_per_sec,flow_packets_per_sec,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,fwd_packets_per_sec,bwd_packets_per_sec,avg_packet_size,label,dataset_source,dataset_step,binary_label,binary_label_desc
53,1151.0,2,347523.8923,3475.238923,36.0,164.0,87.2,70.10848736,0.0,2,72.0,328.0,1737.619461,1737.619461,109.0,BENIGN,cic,1,0,Normal
80.0,21.037565,10,1630.0,0.427806,0.0,0.000345,0.000115,0.000163,6.0,4,864.0,766.0,0.23767,0.59446,0.000345,DoS,botiot,1,1,Attack
53,24231.0,2,12876.06785,165.0777929,39.0,117.0,70.2,42.72235949,0.0,2,78.0,234.0,82.53889645,82.53889645,87.75,BENIGN,cic,1,0,Normal
80,21.026058,10,1688.0,0.42804,0.0,0.000129,3.2e-05,5.6e-05,6.0,4,922.0,766.0,0.2378,0.249455,0.000129,DDoS,botiot,1,1,Attack
80,980.0,2,0.0,2040.816327,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2040.816327,0.0,0.0,DoS Hulk,cic,1,1,Attack
443,5665921.0,9,972.3044144,2.823901004,0.0,1689.0,324.0588235,587.1853914,0.0,7,376.0,5133.0,1.588444315,1.235456689,344.3125,BENIGN,cic,1,0,Normal
53,72917.0,1,2180.56146,27.42844604,48.0,111.0,69.0,36.37306696,0.0,1,48.0,111.0,13.71422302,13.71422302,103.5,BENIGN,cic,1,0,Normal
80.0,13.951531,10,1614.0,0.64509,0.0,2.07843,0.69284,0.97976,6.0,4,848.0,766.0,0.358384,0.252672,2.07852,DoS,botiot,1,1,Attack
40700,1.0,2,2944000000.0,2000000.0,1472.0,1472.0,1472.0,0.0,0.0,0,2944.0,0.0,2000000.0,0.0,2208.0,DrDoS_MSSQL,cic,1,1,Attack
8702,11505.0,3,1564.537158,260.756193,6.0,6.0,6.0,0.0,0.0,0,18.0,0.0,260.756193,0.0,8.0,BENIGN,cic,1,0,Normal
1124,0.0,1,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0,79.0,0.0,0.0,0.0,0.0,Normal,botiot,1,0,Normal
443,139.0,2,86330.93525,14388.48921,6.0,6.0,6.0,0.0,0.0,0,12.0,0.0,14388.48921,0.0,9.0,BENIGN,cic,1,0,Normal
53,55400.0,2,5126.353790613719,72.20216606498195,39.0,103.0,64.6,35.05424368033063,0.0,2,78.0,206.0,36.101083032490976,36.101083032490976,80.75,BENIGN,cic,1,0,Normal
138,11.0,4,73090909.0909091,363636.3636363637,201.0,201.0,201.0,0.0,0.0,0,804.0,0.0,363636.3636363637,0.0,251.25,BENIGN,cic,1,0,Normal
80,2017972.0,5,14.86641044,2.477735073,6.0,6.0,6.0,0.0,0.0,0,30.0,0.0,2.477735073,0.0,7.2,DDoS,cic,1,1,Attack
443,6531677.0,8,660.0142659,1.9903005,0.0,1460.0,307.9285714,530.2400711,0.0,5,369.0,3942.0,1.224800308,0.765500192,331.6153846,BENIGN,cic,1,0,Normal
863,56442233.0,4,0.0,0.1063033774726807,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0708689183151205,0.0354344591575602,0.0,Syn,cic,1,1,Attack
80,24584.0,1,0.0,81.35372600065082,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,40.676863000325405,40.676863000325405,0.0,BENIGN,cic,1,0,Normal
